2025-03-09 17:44:05,043 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:06,044 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:07,045 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:08,045 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:09,046 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:10,047 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:11,047 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:12,048 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:13,049 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:14,050 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:15,050 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:16,051 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:17,052 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
